book_url,genre
https://www.goodreads.com/book/show/16299.And_Then_There_Were_None,mystery
https://www.goodreads.com/book/show/94494023-black-forest-department-france-international-bestseller-award-juvenile-m,mystery
https://www.goodreads.com/book/show/216593225-burden-of-truth,mystery
https://www.goodreads.com/book/show/133333249-death-of-an-old-girl-a-superintendent-pollard-mystery,mystery
https://www.goodreads.com/book/show/58202849-a-botanist-s-guide-to-parties-and-poisons,mystery
https://www.goodreads.com/book/show/68042868-a-killer-in-the-crystal-palace,mystery
https://www.goodreads.com/book/show/199501180-murder-in-a-somerset-village,mystery
https://www.goodreads.com/book/show/57051118-stall,mystery
https://www.goodreads.com/book/show/644169.Don_t_Murder_Your_Mystery,mystery
https://www.goodreads.com/book/show/128853833-box-set-of-4-books-of-edgar-award-winning-mysteries,mystery
https://www.goodreads.com/book/show/116113119-world-award-winning-mystery-novels-select-7,mystery
https://www.goodreads.com/book/show/43174576-the-birthday-mystery,mystery
https://www.goodreads.com/book/show/123529189-the-continental-op,mystery
https://www.goodreads.com/book/show/6892870-the-girl-who-kicked-the-hornet-s-nest,mystery
https://www.goodreads.com/book/show/60658842-spells-caramels-magical-mysteries,mystery
https://www.goodreads.com/book/show/77361715-the-complete-adventures-into-the-unknown,mystery
https://www.goodreads.com/book/show/139612412-bestseller-mystery-magazine-march-1959,mystery
https://www.goodreads.com/book/show/165379699-pink-umbrella-murder-the,mystery
https://www.goodreads.com/book/show/54082099-ice-queen,mystery
https://www.goodreads.com/book/show/56545809-the-jade-mystery,mystery
https://www.goodreads.com/book/show/131672175-maigret-and-the-informer-a-chief-inspector-jules-maigret-mystery,mystery
https://www.goodreads.com/book/show/37009229-event-horizon,mystery
https://www.goodreads.com/book/show/133385237-the-seven-dials-mystery,mystery
https://www.goodreads.com/book/show/40605285-the-sweetness-at-the-bottom-of-the-pie,mystery
https://www.goodreads.com/book/show/57185589-dangerous-creatures,mystery
https://www.goodreads.com/book/show/239114651-novella,mystery
https://www.goodreads.com/book/show/62088008-road-to-christmas,mystery
https://www.goodreads.com/book/show/54975243-donuts-and-disaster,mystery
https://www.goodreads.com/book/show/53545354-a-banshee-and-a-bookshop,mystery
https://www.goodreads.com/book/show/17325724-becoming-agie,mystery
https://www.goodreads.com/book/show/33801330-100-mysteries-of-science-explained,mystery
https://www.goodreads.com/book/show/162927021-death-watch,mystery
https://www.goodreads.com/book/show/862025.The_Double_Jinx_Mystery,mystery
https://www.goodreads.com/book/show/205099277-forest-of-silence,mystery
https://www.goodreads.com/book/show/55761274-incredibly-puzzled,mystery
https://www.goodreads.com/book/show/46191781-the-door,mystery
https://www.goodreads.com/book/show/222055315-double-cross,mystery
https://www.goodreads.com/book/show/40041763-the-girl-in-the-picture,mystery
https://www.goodreads.com/book/show/75589062-provence-mysteries-box-set-3-twisty-and-humorous-detective-novels,mystery
https://www.goodreads.com/book/show/215184237-the-legend-of-the-falls,mystery
https://www.goodreads.com/book/show/56481020-the-uncountable-cost-of-mystery,mystery
https://www.goodreads.com/book/show/126264872-seaside-promises,mystery
https://www.goodreads.com/book/show/199019727-shadows-of-the-falls,mystery
https://www.goodreads.com/book/show/75953.Carmilla_and_Other_Tales_of_Mystery,mystery
https://www.goodreads.com/book/show/129793615-s-most-exciting-award-winning-mystery-suspense,mystery
https://www.goodreads.com/book/show/59590526-death-of-annalee-mckinley,mystery
https://www.goodreads.com/book/show/56016330-scatman-dues,mystery
https://www.goodreads.com/book/show/11413.Captivating,mystery
https://www.goodreads.com/book/show/50278658-what-lies-in-paradise,mystery
https://www.goodreads.com/book/show/54387413-popular-singers-mystery-image-one-color-spiral-lines,mystery
https://www.goodreads.com/book/show/36797811-knife-creek,mystery
https://www.goodreads.com/book/show/49505168-murder-in-the-storybook-cottage,mystery
https://www.goodreads.com/book/show/43347210-the-greyhound-of-the-baskervilles,mystery
https://www.goodreads.com/book/show/902.The_Westing_Game,mystery
https://www.goodreads.com/book/show/35723778-dying-for-a-duke,mystery
https://www.goodreads.com/book/show/62927555-knock-before-you-enter,mystery
